WCAG番号,適合レベル,原則,達成基準,チェックする時,担当,チェック内容,確認手段,要件の概要,テスト手順詳細,結果,メモ
1.4.2,A,知覚可能,音声の制御,デザイン時,デザイナー,3秒以上自動再生される音声がある場合、停止・音量調整機能をデザイン,必要有無確認,3秒以上自動再生される音声は停止や音量調整ができる,,,
1.4.2,A,知覚可能,音声の制御,開発時,エンジニア,停止・音量調整機能を指示通り実装,,3秒以上自動再生される音声は停止や音量調整ができる,,,
1.4.2,A,知覚可能,音声の制御,デザイン・PdMレビュー時,デザイナー・PdM,自動再生音声に停止・音量調整手段がある,手動確認,3秒以上自動再生される音声は停止や音量調整ができる,,,
1.4.3,AA,知覚可能,コントラスト（最低限）,デザインシステム構築時（初回のみ）,デザイナー,Tokenカラーのコントラスト比を担保する（Figmaプラグインで確認）,Figmaプラグイン（a11y-color-contrast-checker）,テキスト4.5:1・大テキスト3:1・非テキスト3:1以上,,,
1.4.3,AA,知覚可能,コントラスト（最低限）,デザイン時,デザイナー,Token外カラー使用時はFigmaプラグインでコントラスト比を確認,Figmaプラグイン（a11y-color-contrast-checker）,テキスト4.5:1・大テキスト3:1・非テキスト3:1以上,,,
1.4.3,AA,知覚可能,コントラスト（最低限）,QAテスト時,QA,テキストと背景のコントラスト比が基準を満たしている,コントラストチェッカー（webaim.org/resources/contrastchecker）,テキスト4.5:1・大テキスト3:1・非テキスト3:1以上,"1. 本文・リンク・ボタンラベル等のコントラスト比を測定
2. 200%ズームで文字が読めるか目視確認",,
1.4.4,AA,知覚可能,テキストのサイズ変更,デザインシステム構築時（初回のみ）,デザイナー・エンジニア,フォントサイズはremで指定する,手動作業,テキストサイズ200%拡大でも見切れ・レイアウト崩れなし,,,
1.4.4,AA,知覚可能,テキストのサイズ変更,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,Chromeのフォントサイズ極大でも問題なく読める / テキストを200%に拡大してもコンテンツ・機能が損なわれない,Chromeのフォントサイズを極大に設定して確認 / ブラウザ200%ズーム,テキストサイズ200%拡大でも見切れ・レイアウト崩れなし,"1. ブラウザの文字を200%に拡大する
2. 文字が重なったり見切れたりしないか目視確認",,
1.4.5,AA,知覚可能,文字画像,開発時,エンジニア,ロゴ・イラスト以外のテキストは実テキストで実装,,特別な場合を除き文字は画像でなくテキストで表示する,,,
1.4.5,AA,知覚可能,文字画像,QAテスト時,QA,テキストが実テキストで実装されている,目視確認,特別な場合を除き文字は画像でなくテキストで表示する,目視でテキストが画像で作られていないか確認する,,
1.4.10,AA,知覚可能,リフロー,デザイン時,デザイナー,320px〜のモバイルデザインを用意（横スクロール基本不可）,手動作業,320px幅で横スクロールなしにコンテンツを閲覧できる（地図・表は除く）,,,
1.4.10,AA,知覚可能,リフロー,開発時,エンジニア,画面幅320pxまでのレスポンシブを指示通り実装,,320px幅で横スクロールなしにコンテンツを閲覧できる（地図・表は除く）,,,
1.4.10,AA,知覚可能,リフロー,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,320px〜で横スクロールなしにコンテンツを閲覧できる / 400%ズーム時に2次元スクロールが不要,手動確認 / ブラウザ400%ズーム,320px幅で横スクロールなしにコンテンツを閲覧できる（地図・表は除く）,画面を400%に拡大して左右スクロールなしで閲覧できるか確認する,,
1.4.11,AA,知覚可能,非テキストのコントラスト,デザイン時,デザイナー,非テキスト要素（アイコン・ボタン枠等）も3:1以上のコントラスト比を確認,Figmaプラグイン（a11y-color-contrast-checker）,UIコンポーネント・グラフィカルオブジェクトは隣接色との間で3:1以上,,,
1.4.11,AA,知覚可能,非テキストのコントラスト,QAテスト時,QA,UIコンポーネント・グラフィカルオブジェクトのコントラスト比が3:1以上,コントラストチェッカー・目視,UIコンポーネント・グラフィカルオブジェクトは隣接色との間で3:1以上,"1. ボタン枠・アイコン・グラフの境界線が背景と3:1以上か確認
2. フォーカス・選択状態のビジュアル変化が背景と区別できるか確認",,
1.4.12,AA,知覚可能,テキストの間隔,QAテスト時,QA,テキスト間隔を変更してもコンテンツ・機能が損なわれない,Text Spacing Editorブラウザ拡張またはカスタムCSS,行間1.5倍・段落間2倍・文字間0.12em・単語間0.16emでコンテンツが失われない,Text Spacing Editorで行間1.5倍・段落間2倍・文字間0.12em・単語間0.16emを適用しテキストが切れ・重なり・隠れなしで表示されるか確認,,
1.4.13,AA,知覚可能,ホバー又はフォーカスで表示されるコンテンツ,デザインシステム構築時（初回のみ）,デザイナー・エンジニア,ホバー時表示コンテンツを持つComponentは①escで非表示②ホバー移動で消えない③自動消えないを実装,手動作業,ホバー・フォーカスで表示される追加コンテンツは非表示にでき・ホバーでき・継続表示される,,,
1.4.13,AA,知覚可能,ホバー又はフォーカスで表示されるコンテンツ,デザイン時,デザイナー,カスタムのホバー表示コンテンツは①②③を満たすようデザイン,必要有無確認,ホバー・フォーカスで表示される追加コンテンツは非表示にでき・ホバーでき・継続表示される,,,
1.4.13,AA,知覚可能,ホバー又はフォーカスで表示されるコンテンツ,開発時,エンジニア,カスタムのホバー表示コンテンツは①②③を満たすよう実装,,ホバー・フォーカスで表示される追加コンテンツは非表示にでき・ホバーでき・継続表示される,,,
1.4.13,AA,知覚可能,ホバー又はフォーカスで表示されるコンテンツ,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,ホバー表示コンテンツが①escで非表示②ホバー移動で消えない③自動消えないを満たす / ホバー・フォーカスで表示される追加コンテンツが3要件を満たす,手動確認 / キーボード操作・マウス操作,ホバー・フォーカスで表示される追加コンテンツは非表示にでき・ホバーでき・継続表示される,"1. ホバー表示コンテンツをescキーで非表示にできるか確認
2. 追加コンテンツにポインタを移動しても消えないか確認
3. 意図的に非表示にするまで継続表示されるか確認",,
2.1.1,A,操作可能,キーボード,デザインシステム構築時（初回のみ）,デザイナー・エンジニア,操作可能なComponentはフォーカス状態を準備,手動作業,すべての機能をキーボードだけで操作できる,,,
2.1.1,A,操作可能,キーボード,デザイン時,デザイナー,コンポーネント以外の操作可能なパーツにフォーカス状態を準備,必要有無確認,すべての機能をキーボードだけで操作できる,,,
2.1.1,A,操作可能,キーボード,開発時,エンジニア,コンポーネント以外の操作可能なパーツにフォーカス状態を実装しキーボード操作可能にした,,すべての機能をキーボードだけで操作できる,,,
2.1.1,A,操作可能,キーボード,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,コンポーネント以外の操作可能なパーツをキーボードで操作でき、フォーカスが認識できる / すべての機能がキーボードのみで操作できる,キーボード操作で一通り確認 / キーボード操作（Tab/Enter/Space/矢印キー）,すべての機能をキーボードだけで操作できる,"1. マウスを使わずTab/Shift+Tab/Enter/Space/矢印キーで操作する
2. ナビゲーション・ボタン・リンク・フォーム・モーダル等を順に操作する
3. キーボードで到達できない要素・操作できない機能がないか確認する",,
2.1.2,A,操作可能,キーボードトラップなし,開発時,エンジニア,フォーカスが特定のエリアに閉じ込められないよう実装（モーダル・iframe等に注意）,,キーボード操作でフォーカスが特定エリアに閉じ込められない,,,
2.1.2,A,操作可能,キーボードトラップなし,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,キーボード操作でフォーカスが特定エリアに閉じ込められない / フォーカスがキーボード操作で脱出できないエリアがない,キーボード操作で一通り確認 / キーボード操作（Tab/Shift+Tab/Esc）,キーボード操作でフォーカスが特定エリアに閉じ込められない,"1. モーダル・iframe・動画プレイヤー等にフォーカスを入れる
2. Tab/Shift+Tabでエリア外に抜け出せるか確認する
3. Escキー・Closeボタンで正常に戻れるか確認する",,
2.1.4,A,操作可能,文字キーのショートカット,デザイン時,デザイナー,文字キー単体ショートカットを搭載する場合、無効化・変更できる機能をデザイン,必要有無確認,文字キー単体ショートカットは無効化・変更などのカスタマイズができる,,,
2.1.4,A,操作可能,文字キーのショートカット,開発時,エンジニア,文字キー単体ショートカットを搭載する場合、無効化・変更機能を実装,,文字キー単体ショートカットは無効化・変更などのカスタマイズができる,,,
2.1.4,A,操作可能,文字キーのショートカット,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,文字キー単体ショートカットがある場合、無効化・変更できる / 文字キー単体ショートカットが解除・再割当て・フォーカス時のみ有効のいずれかを満たす,必要有無確認・手動確認 / キーボード操作,文字キー単体ショートカットは無効化・変更などのカスタマイズができる,文字のみのショートカットがある場合: 解除できるか・再割り当てできるか・フォーカス時のみ有効かを確認する,,
2.2.1,A,操作可能,タイミング調整可能,デザイン時,デザイナー,20時間未満の制限時間がある場合、無効化または警告後20秒以上の猶予で10倍延長できるようデザイン,必要有無確認,20時間未満の制限時間は無効化できる。または警告後20秒猶予で10倍以上延長できる,,,
2.2.1,A,操作可能,タイミング調整可能,開発時,エンジニア,制限時間がある場合、無効化・延長機能を指示通り実装,,20時間未満の制限時間は無効化できる。または警告後20秒猶予で10倍以上延長できる,,,
2.2.1,A,操作可能,タイミング調整可能,デザイン・PdMレビュー時,デザイナー・PdM,制限時間がある場合、無効化できるまたは延長できる,必要有無確認・手動確認,20時間未満の制限時間は無効化できる。または警告後20秒猶予で10倍以上延長できる,,,
2.2.2,A,操作可能,一時停止、停止、非表示,デザイン時,デザイナー,3秒以上自動に動くコンテンツがある場合、一時停止・停止・非表示できるようデザイン,必要有無確認,3秒以上自動的に動くコンテンツを一時停止・停止・非表示できる,,,
2.2.2,A,操作可能,一時停止、停止、非表示,開発時,エンジニア,一時停止・停止・非表示機能を指示通り実装,,3秒以上自動的に動くコンテンツを一時停止・停止・非表示できる,,,
2.2.2,A,操作可能,一時停止、停止、非表示,デザイン・PdMレビュー時,デザイナー・PdM,3秒以上自動に動くコンテンツを一時停止・停止・非表示できる,必要有無確認・手動確認,3秒以上自動的に動くコンテンツを一時停止・停止・非表示できる,,,
2.3.1,A,操作可能,3回の閃光、又は閾値以下,デザイン時,デザイナー,画面1/4以上で1秒3回超の点滅を含まない。強い赤色の点滅も含まない,必ず手動で確認,画面1/4以上で1秒3回超の点滅なし・強い赤色の点滅なし,,,
2.4.1,A,操作可能,ブロックスキップ,デザインシステム構築時（初回のみ）,デザイナー・エンジニア,ナビゲーション・ヘッダーをTabキーでスキップできるよう実装,手動作業,繰り返されるブロック（ナビ等）をスキップできる,,,
2.4.1,A,操作可能,ブロックスキップ,QAテスト時,QA,繰り返し出るナビゲーションを飛ばして本文に進める手段がある,キーボード操作（Tab）,繰り返されるブロック（ナビ等）をスキップできる,"1. Tabキーでページ先頭にフォーカスを当てる
2. 「スキップ」等のリンクが最初に現れるか確認する
3. そのリンクでナビゲーションをスキップして本文に移動できるか確認する",,
2.4.2,A,操作可能,ページタイトル,デザイン時,デザイナー,HTMLのtitleをページ内容を表すように指定（例：ページ単体の内容｜サイト名）,必ず手動で確認,HTMLのtitleはページ内容を表している,,,
2.4.2,A,操作可能,ページタイトル,開発時,エンジニア,titleタグをデザイナーの指示通り実装,,HTMLのtitleはページ内容を表している,,,
2.4.2,A,操作可能,ページタイトル,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,ブラウザのタブ名がページ内容を表している / ページタイトルが内容・目的を説明している,必ず手動で確認 / ブラウザのタブ確認,ページには内容を表すわかりやすいタイトルをつける,"1. ブラウザのタブに表示されるタイトルを確認する
2. タイトルがページの内容や目的を正しく表しているか確認する
3. 複数ページのタブを並べてタイトルだけで区別できるか確認する",,
2.4.3,A,操作可能,フォーカス順序,開発時,エンジニア,フォーカスが正しい順序で移動するよう実装（tabindex等）,,キーボードのフォーカス移動順序が意味や操作性を損なわない,,,
2.4.3,A,操作可能,フォーカス順序,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,キーボード操作でフォーカスが正しい順序で移動する / キーボードのフォーカス移動順序が意味のある流れになっている,キーボード操作で一通り確認 / キーボード操作（Tab/Shift+Tab）,キーボードのフォーカス移動順序が意味や操作性を損なわない,"1. Tab/Shift+Tabでフォーカスを順番に移動する
2. フォーカスの移動が画面の見た目の流れに沿っているか確認する
3. モーダル等でフォーカスが適切に管理されているか確認する",,
2.4.4,A,操作可能,リンクの目的（コンテキスト内）,デザイン時,デザイナー,リンクテキストは単体で遷移先を理解できるようにする。冗長になる場合はARIAラベルを指定,目視確認,リンクの目的がリンクテキストまたはコンテキストから判断できる,,,
2.4.4,A,操作可能,リンクの目的（コンテキスト内）,開発時,エンジニア,ARIAラベルの指定があれば指示通りに実装,,リンクの目的がリンクテキストまたはコンテキストから判断できる,,,
2.4.4,A,操作可能,リンクの目的（コンテキスト内）,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,スクリーンリーダーのリンク一覧で全リンクの遷移先が理解できる / リンクテキスト単体またはコンテキストからリンク先が判断できる,VoiceOver: Ctrl+Opt+Uでリンク一覧確認 / 目視 / VoiceOverリンク一覧,リンクの目的がリンクテキストまたはコンテキストから判断できる,"1. ページ内のリンクテキストを確認し遷移先の目的が分かるか確認する
2. 「詳細を見る」「こちら」など曖昧なリンクテキストがないか確認する
3. スクリーンリーダーのリンク一覧で判別できるか確認する",,
2.4.5,AA,操作可能,複数の手段,デザイン時,デザイナー,最終目的地に複数の手段でたどり着けるようにする（サブ動線例：サイト内検索・直URL等）,必ず手動で確認,目的のページに辿り着く手段が複数ある,,,
2.4.5,AA,操作可能,複数の手段,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,最終目的地に複数の手段でたどり着けている / 主要ページへの複数のナビゲーション手段がある,必ず手動で確認 / 目視確認,目的のページに辿り着く手段が複数ある,サイト内で主要ページに移動する手段が2つ以上あるか確認する（メニュー・検索・サイトマップ・パンくず等）,,
2.4.6,AA,操作可能,見出し及びラベル,デザイン時,デザイナー,見出しやラベルは単体で内容を明確に伝える（NG例：その他・重要）,目視確認,見出しやラベルは内容を明確に伝えている,,,
2.4.6,AA,操作可能,見出し及びラベル,QAテスト時,QA,見出しとラベルがコンテンツを説明している,目視 / VoiceOver,見出しやラベルは内容を明確に伝えている,"1. ページ内の見出しを確認し内容のまとまりをわかりやすく示しているか確認する
2. フォームのラベルが入力の目的を分かりやすく示しているか確認する",,
2.4.7,AA,操作可能,フォーカスの可視化,デザイン時,デザイナー,コンポーネント以外の操作可能なパーツのフォーカス状態を準備,必要有無確認,キーボード操作でフォーカスインジケータが見える,,,
2.4.7,AA,操作可能,フォーカスの可視化,開発時,エンジニア,フォーカス状態を指示通り実装,,キーボード操作でフォーカスインジケータが見える,,,
2.4.7,AA,操作可能,フォーカスの可視化,QAテスト時,QA,キーボード操作可能なすべてのUIにフォーカスインジケータがある,キーボード操作（Tab）,キーボード操作でフォーカスインジケータが見える,"1. Tabキーでページ上を移動する
2. ボタン・リンク・入力欄等にフォーカスを移動したとき見た目が変化するか確認する
3. 変化が小さすぎて見分けにくくないか目視確認する",,
2.4.11,AA,操作可能,フォーカスの不明瞭さ（最低限）（WCAG2.2）,開発時,エンジニア,ドロワー・ポップアップ等の覆うUIでは隠れているパーツにフォーカスが当たらないよう実装。画面外フォーカスはスクロールさせる,,フォーカスが他の要素によって隠されない,,,
2.4.11,AA,操作可能,フォーカスの不明瞭さ（最低限）（WCAG2.2）,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,ドロワー・ポップアップがある場合、隠れているパーツにフォーカスが当たらない / フォーカスがドロワーやポップアップなどに隠れない,キーボード操作で一通り確認 / キーボード操作（Tab）,フォーカスが他の要素によって隠されない,"1. ドロワー・ポップアップがある場合Tabを押してフォーカスが隠れないか確認する
2. 画面外にフォーカスが移動する場合、画面が自動スクロールして対象が見えるか確認する",,
2.5.1,A,操作可能,ポインタのジェスチャー,デザイン時,デザイナー,Mobileで複数の指の同時操作や軌跡ジェスチャを利用する場合、一本指タップのみでも操作できるようにする,必要有無確認,複数指操作・軌跡ジェスチャなしに1本指タップのみで操作できる,,,
2.5.1,A,操作可能,ポインタのジェスチャー,QAテスト時,QA,マルチポイント・軌跡ベースのジェスチャを使う機能に代替手段がある,タッチ操作テスト,複数指操作・軌跡ジェスチャなしに1本指タップのみで操作できる,スワイプ・ピンチ・長押し・ドラッグ等が必要な箇所を探し、単一タップで代替できるか確認する,,
2.5.2,A,操作可能,ポインタのキャンセル,開発時,エンジニア,ユーザーの操作はマウスアップ（離したとき）で実行されるよう実装,,誤操作を防ぐため実行はアップイベントで行われる,,,
2.5.2,A,操作可能,ポインタのキャンセル,QAテスト時,QA,タップ・クリックの操作が押した瞬間でなく離したときに実行される,マウス・タッチ操作,誤操作を防ぐため実行はアップイベントで行われる,"1. ボタン等をクリック/タップし押した瞬間に即実行されないか確認する
2. ドラッグ等の操作は離す前に取り消せるか確認する",,
2.5.3,A,操作可能,ラベルを含む名前,開発時,エンジニア,スクリーンリーダーで読み上げられるテキストは画面上のテキストと揃える,,視覚的な文字と実装上のテキスト（アクセシブルネーム）が一致している,,,
2.5.3,A,操作可能,ラベルを含む名前,デザイン・PdMレビュー / QAテスト時,デザイナー・PdM / QA,スクリーンリーダーで読み上げられるテキストが画面上のテキストと揃っている / ボタン・リンク等の視覚的ラベルとアクセシブルネームが一致している,スクリーンリーダーで一通り確認 / VoiceOver,視覚的な文字と実装上のテキスト（アクセシブルネーム）が一致している,"1. ボタン・リンク・アイコン付き操作要素を確認する
2. 目に見えるラベルとVoiceOverが読み上げる名前が一致しているか確認する",,
2.5.4,A,操作可能,動きによる起動,デザイン時,デザイナー,「デバイスを振ると戻る」等の動きによる操作がある場合、マウス・キーボードでも同じ操作ができ無効化もできるようにする,必要有無確認,動きによる操作はマウス・キーボードでも代替でき無効化もできる,,,
2.5.7,AA,操作可能,ドラッグ動作,デザイン時,デザイナー,ドラッグ操作が必要な機能がある場合、クリック・タップで同じ操作ができるようにする（例：並び替えに矢印ボタンも用意）,目視確認,ドラッグ動作なしのシングルポインタ操作で同等の機能を使える,,,
2.5.7,AA,操作可能,ドラッグ動作,QAテスト時,QA,ドラッグ操作を必要とする機能に代替操作手段がある,マウス・タッチ操作テスト,ドラッグ動作なしのシングルポインタ操作で同等の機能を使える,ドラッグ操作が必要な箇所を探し、クリック/タップ/矢印キー等の代替手段が用意されているか確認する,,
2.5.8,AA,操作可能,ターゲットのサイズ（最低限）,デザインシステム構築時（初回のみ）,デザイナー・エンジニア,操作可能なComponentは操作領域をマージン含め24×24px以上にする,手動作業,操作領域はマージン含め24×24px以上,,,
2.5.8,AA,操作可能,ターゲットのサイズ（最低限）,デザイン時,デザイナー,コンポーネント以外の独自パーツは操作領域をマージン含め24×24px以上に指定（文中リンクは除く）,必要有無確認,操作領域はマージン含め24×24px以上,,,
2.5.8,AA,操作可能,ターゲットのサイズ（最低限）,QAテスト時,QA,ボタン・リンク等のクリック・タップ領域が24×24 CSSピクセル以上,CSSサイズ確認・目視,操作領域はマージン含め24×24px以上,"1. リンク・ボタン・アイコン等の操作ターゲットを確認する
2. CSSサイズを測り24×24 CSS px以上あるか確認する（スマホは44px目安）
3. ターゲット同士が近すぎて誤タップしやすくないか確認する",,
3.1.1,A,理解可能,ページの言語,開発時,エンジニア,ページの言語をHTMLのlang属性で指定,,ページの主な言語がlang属性で指定されている,,,
3.1.1,A,理解可能,ページの言語,QAテスト時,QA,HTMLのlang属性がページの主言語を正しく指定している,開発者ツールで確認,ページの主な言語がlang属性で指定されている,"1. htmlタグのlang属性を開発者ツールで確認する
2. 日本語ページならlang=""ja""が指定されているか確認する
3. スクリーンリーダーで言語設定が正しく反映されているか確認する",,
3.1.2,AA,理解可能,一部分の言語,開発時,エンジニア,引用文や言語選択など他言語の文章が含まれる場合、HTMLのlang属性で指定（固有名詞・文中単語は除く）,,他言語の文章部分にlang属性が指定されている,,,
3.1.2,AA,理解可能,一部分の言語,QAテスト時,QA,ページ内の他言語テキストにlang属性が指定されている,開発者ツールで確認 / VoiceOver,他言語の文章部分にlang属性が指定されている,"1. ページ内に主言語と異なる言語が使われている箇所を探す
2. その要素にlang属性が指定されているか開発者ツールで確認する
3. スクリーンリーダーで異なる言語部分が正しく発音されるか確認する",,
3.2.1,A,理解可能,フォーカス時,デザイン時,デザイナー,フォーカスを当てただけで大きな変化（ページ遷移・スクロール等）が起こる体験にしていない（ツールチップ等の小さな変化は許容）,必ず手動で確認,フォーカスするだけで予期しないコンテキスト変更が起きない,,,
3.2.1,A,理解可能,フォーカス時,開発時,エンジニア,フォーカスを当てただけで大きな変化が起こらないよう実装,,フォーカスするだけで予期しないコンテキスト変更が起きない,,,
3.2.1,A,理解可能,フォーカス時,QAテスト時,QA,フォーカスしても予期しないコンテキスト変更が発生しない,キーボード操作（Tab）,フォーカスするだけで予期しないコンテキスト変更が起きない,Tab/Shift+Tabでフォーカスを移動し、フォーカスしただけでページ遷移・送信・設定変更等が起きないか確認する,,
3.2.2,A,理解可能,入力時,デザイン時,デザイナー,入力しただけでユーザーが予想できない変化（ページ遷移・スクロール等）が起こらない,必ず手動で確認,入力しても予期しないコンテキスト変更が起きない,,,
3.2.2,A,理解可能,入力時,QAテスト時,QA,入力・選択しても予期しないコンテキスト変更が発生しない,手動操作,入力しても予期しないコンテキスト変更が起きない,フォーム・ドロップダウン等に入力し、入力した瞬間にページ遷移・送信・大きなレイアウト変更が自動で発生しないか確認する,,
3.2.3,AA,理解可能,一貫したナビゲーション,デザイン時,デザイナー,グローバルナビゲーションは常に同じ順序・表記で表示する,目視確認,繰り返し表示されるナビゲーションは常に同じ順序・表記で実装されている,,,
3.2.3,AA,理解可能,一貫したナビゲーション,QAテスト時,QA,複数ページで繰り返されるナビゲーションが常に同じ順序・配置で出現する,複数ページの目視確認,繰り返し表示されるナビゲーションは常に同じ順序・表記で実装されている,サイト内の複数ページを見比べて共通ナビゲーションの並び順・配置がページごとに変わっていないか確認する,,
