チェック,チェックする時,チェック内容,確認手段,要件の概要（複数の要件が並んでいる場合があります）,Sansan Viewer 運用状況,Bill One 運用状況,Contract One 運用状況,Eight 運用状況
No,デザイン時,Mobileの場合、デバイスの縦・横向きの画面のデザインを準備した。,必要有無を確認＆必要なら作業,デバイスを縦向き・横向きいずれの向きで操作していても利用できる。,デバイス上対象外,,,
No,デザイン・PdMレビュー時,"個人情報を入力する欄がある場合、https://support.google.com/chrome/answer/142893?hl=ja&co=GENIE.Platform%3DDesktopを利用できた。（個人情報：氏名、メールアドレス、電話番号、生年月日、クレジットカード、住所など） ",必要有無を確認＆必要なら手動で確認,"個人情報を入力する欄は、autocomplete属性が適切に指定されており、自動入力や支援機能を利用できる。
（個人情報：氏名、メールアドレス、電話番号、生年月日、クレジットカード、住所など）",現状はやらない,,,
No,開発時,個人情報を入力する欄は、autocomplete属性を適切に指定した。（個人情報：氏名、メールアドレス、電話番号、生年月日、クレジットカード、住所など）,,"個人情報を入力する欄は、autocomplete属性が適切に指定されており、自動入力や支援機能を利用できる。
（個人情報：氏名、メールアドレス、電話番号、生年月日、クレジットカード、住所など）",現状はやらない,,,
No,デザイン時,赤字や色のみのグラフなど、色の違いだけで情報を伝えていない。,Chat GPTに画面を読み込ませて確認,赤字や色のみのグラフなど、色の違いだけで情報を伝えていない。,やる,,,
No,デザイン・PdMレビュー時,3秒以上自動で再生される音声がある場合、自分で停止や音量の調整ができる。,必要有無を確認＆必要なら手動で確認,3秒以上自動で再生される音声は、自分で停止や音量の調整ができる。これにより、認知障害のあるユーザーの混乱や、スクリーンリーダーが聞こえづらくなる事態を防ぐことができる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,開発時,3秒以上自動で再生される音声がある場合は、自分で停止や音量の調整ができる機能を実装した。,,3秒以上自動で再生される音声は、自分で停止や音量の調整ができる。これにより、認知障害のあるユーザーの混乱や、スクリーンリーダーが聞こえづらくなる事態を防ぐことができる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,音声は3秒以上自動で再生されないようにする。3秒以上自動で再生される音声がある場合、自分で停止や音量の調整ができる機能をデザインした。,必要有無を確認＆必要なら作業,3秒以上自動で再生される音声は、自分で停止や音量の調整ができる。これにより、認知障害のあるユーザーの混乱や、スクリーンリーダーが聞こえづらくなる事態を防ぐことができる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,Tokenのルールを守る。Token以外のカラーを使う場合、コントラスト比が担保できているかをhttps://www.figma.com/community/plugin/733159460536249875/a11y-color-contrast-checkerで一括確認した。（テキストは4.5 : 1、大きなテキストは3:1、非テキストは3:1）,必ず手動で確認,"テキストを読み取りやすくするために、コントラスト比を4.5 : 1 以上にする。大きなテキスト（22pt 29px以上、または太字で18pt 24px以上）は3:1以上にする。,UIコンポーネントやグラフなどの非テキスト要素は、コントラストを3:1以上にする。","現状はやらない,現状はやらない",,,
No,デザインシステム構築時,Tokenカラーはコントラスト比を担保する。白背景と黒文字以外の色の組み合わせ（例：薄い青背景上にグレー文字）も、https://www.figma.com/community/plugin/733159460536249875/a11y-color-contrast-checkerで確認しながら、利用可否の定義を行う。,必ず手で作業,"テキストを読み取りやすくするために、コントラスト比を4.5 : 1 以上にする。大きなテキスト（22pt 29px以上、または太字で18pt 24px以上）は3:1以上にする。,UIコンポーネントやグラフなどの非テキスト要素は、コントラストを3:1以上にする。","現状はやらない,現状はやらない",,,
No,デザインシステム構築時,フォントサイズはremで指定する。,必ず手で作業,ブラウザ機能でテキストサイズを200%拡大しても、見切れやレイアウト崩れが発生しない。,現状はやらない,,,
No,デザイン・PdMレビュー時,Chromeの設定でフォントサイズを極大にしたときに問題なく読める,必ず手動で確認,"ブラウザ機能でテキストサイズを200%拡大しても、見切れやレイアウト崩れが発生しない。,行間1.5倍や段落間2倍など、テキストの間隔を調整しても、コンテンツが失われない。","現状はやらない,現状はやらない",,,
No,開発時,"ロゴやイラスト以外のテキストは、画像ではなく実テキストで実装している。 ",,"文字画像は実テキストで代替できない場合に使用可能。ただし文字画像は色、サイズ、背景をカスタマイズ可能である。
※ロゴなどの場合はカスタマイズできなくても許容する",現状はやらない,,,
No,デザイン・PdMレビュー時,モバイル（320px〜）で表示した際のレスポンシブが対応されている。,必ず手動で確認,"320pxの画面（400%ズーム相当）で表示した際に、横スクロールなしにコンテンツを閲覧できる。
※ 地図や表などの2次元の構造が不可欠なコンテンツは、許容する。",現状はやらない,,,
No,開発時,画面幅320pxまでのレスポンシブを指示通りに実装した。（ズーム部分は別途検討）,,"320pxの画面（400%ズーム相当）で表示した際に、横スクロールなしにコンテンツを閲覧できる。
※ 地図や表などの2次元の構造が不可欠なコンテンツは、許容する。",現状はやらない,,,
No,デザイン時,モバイル（320px〜）で表示した際のデザインも用意する。基本は横スクロールは許容しないが、地図や表など、理解に2次元の構造が必要なコンテンツは許容する。,必ず手で作業,"320pxの画面（400%ズーム相当）で表示した際に、横スクロールなしにコンテンツを閲覧できる。
※ 地図や表などの2次元の構造が不可欠なコンテンツは、許容する。",現状はやらない,,,
No,デザインシステム構築時,ホバー時に表示されるコンテンツがあるComponentは、以下の①-③までを満たすように実装した。①escキーで非表示にできる。②ホバー時に表示されるコンテンツにポインタを移動しても消えない。③自動で消えない。,必ず手で作業,"1. ホバー時に表示されるコンテンツは、マウス操作なしで非表示できる。
2. ホバー時に表示されるコンテンツにポインタを移動しても消えず、拡大鏡や視線入力などを利用するユーザーが理解できる。
3. ホバー時に表示されるコンテンツが自動で消えない。",現状はやらない,,,
No,デザイン・PdMレビュー時,コンポーネント以外の、独自にホバー時に表示されるコンテンツがある場合、以下の①-③までを満たす。①escキーで非表示にできる。②ホバー時に表示されるコンテンツにポインタを移動しても消えない。③自動で消えない。,必要有無を確認＆必要なら手動で確認,"1. ホバー時に表示されるコンテンツは、マウス操作なしで非表示できる。
2. ホバー時に表示されるコンテンツにポインタを移動しても消えず、拡大鏡や視線入力などを利用するユーザーが理解できる。
3. ホバー時に表示されるコンテンツが自動で消えない。",現状はやらない,,,
No,開発時,コンポーネント以外の、ホバー時に表示されるコンテンツがある場合、以下の①-③まで満たすように実装した。①escキーで非表示にできる。②ホバー時に表示されるコンテンツにポインタを移動しても消えない。③自動で消えない。,,"1. ホバー時に表示されるコンテンツは、マウス操作なしで非表示できる。
2. ホバー時に表示されるコンテンツにポインタを移動しても消えず、拡大鏡や視線入力などを利用するユーザーが理解できる。
3. ホバー時に表示されるコンテンツが自動で消えない。",現状はやらない,,,
No,開発時,"コンポーネント以外の操作可能なパーツがある場合、指示通りにフォーカス状態を実装した。また、キーボードでクリックや選択などの操作が可能なように実装した。 ",,"キーボード操作だけで利用できる。,キーボードで操作する際に、フォーカスが視覚的に示される。","現状はやらない,現状はやらない",,,
No,デザイン・PdMレビュー時,コンポーネント以外の操作可能なパーツがある場合、キーボードで操作する際にフォーカスが認識できる。また、キーボードでクリックや選択などの操作ができる。,キーボード操作で一通り確認,"キーボード操作だけで利用できる。,キーボードで操作する際に、フォーカスが視覚的に示される。","現状はやらない,現状はやらない",,,
No,デザインシステム構築時,操作可能なComponentは、フォーカス状態を準備した。,必ず手で作業,"キーボード操作だけで利用できる。,キーボードで操作する際に、フォーカスが視覚的に示される。","現状はやらない,現状はやらない",,,
No,デザイン時,コンポーネント以外の操作可能なパーツがある場合、フォーカス状態を準備した。,必要有無を確認＆必要なら作業,"キーボード操作だけで利用できる。,キーボードで操作する際に、フォーカスが視覚的に示される。","現状はやらない,現状はやらない",,,
No,開発時,"キーボードで操作する際、フォーカスが特定のエリアに閉じ込められないように実装した。
※ モーダルダイアログや動画プレーヤーで起きやすい。",,"キーボードで操作する際、フォーカスが特定のエリアに閉じ込められない。
※ モーダルダイアログや動画プレーヤーで起きやすい。",現状はやらない,,,
No,デザイン・PdMレビュー時,"キーボードで操作する際、フォーカスが特定のエリアに閉じ込められない。
※ モーダルダイアログや動画プレーヤーで起きやすい。",キーボード操作で一通り確認,"キーボードで操作する際、フォーカスが特定のエリアに閉じ込められない。
※ モーダルダイアログや動画プレーヤーで起きやすい。",現状はやらない,,,
No,デザイン・PdMレビュー時,文字キー単体のショートカット機能を搭載した場合、無効化や変更などのカスタマイズができる。,必要有無を確認＆必要なら手動で確認,文字キー単体のショートカットは、無効化や変更などのカスタマイズができる。これにより意図しない操作を防げる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,開発時,文字キー単体のショートカット機能を搭載する場合は、無効化や変更などのカスタマイズができる機能も実装した。,,文字キー単体のショートカットは、無効化や変更などのカスタマイズができる。これにより意図しない操作を防げる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,文字キー単体のショートカット機能を搭載する場合、無効化や変更などのカスタマイズができる機能もデザインした。,必要有無を確認＆必要なら作業,文字キー単体のショートカットは、無効化や変更などのカスタマイズができる。これにより意図しない操作を防げる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン・PdMレビュー時,20時間未満の制限時間がある場合、無効化できる。または、警告後、20秒以上の猶予時間の中で、制限時間を10倍以上に延長できる。※ オークションなど必要不可欠な場合は除く,必要有無を確認＆必要なら手動で確認,"20時間未満の制限時間がある場合、無効化できる。または、警告後、20秒以上の猶予時間の中で、制限時間を10倍以上に延長できる。
※ オークションなど必要不可欠な場合や、リダイレクトを除く。",現状はやらない,,,
No,開発時,20時間未満の制限時間がある場合、無効化できる、または延長できるよう、指示通り実装した。（リダイレクトは含まない）,,"20時間未満の制限時間がある場合、無効化できる。または、警告後、20秒以上の猶予時間の中で、制限時間を10倍以上に延長できる。
※ オークションなど必要不可欠な場合や、リダイレクトを除く。",現状はやらない,,,
No,デザイン時,20時間未満の制限時間がある場合、無効化できるようにデザインした。または、警告後、20秒以上の猶予時間の中で、制限時間を10倍以上に延長できるようにデザインした。※ オークションなど必要不可欠な場合は除く,必要有無を確認＆必要なら作業,"20時間未満の制限時間がある場合、無効化できる。または、警告後、20秒以上の猶予時間の中で、制限時間を10倍以上に延長できる。
※ オークションなど必要不可欠な場合や、リダイレクトを除く。",現状はやらない,,,
No,デザイン・PdMレビュー時,3秒以上自動に動くコンテンツがある場合、一時停止、停止、または非表示できる。,必要有無を確認＆必要なら手動で確認,3秒以上自動的に動くコンテンツを、一時停止、停止、または非表示できる。これによりノイズを軽減できる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,開発時,3秒以上自動に動くコンテンツがある場合、一時停止、停止、または非表示できるように、デザイナーの指示通り実装した。,,3秒以上自動的に動くコンテンツを、一時停止、停止、または非表示できる。これによりノイズを軽減できる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,3秒以上自動に動くコンテンツがある場合、一時停止、停止、または非表示できるようにデザインした。,必要有無を確認＆必要なら作業,3秒以上自動的に動くコンテンツを、一時停止、停止、または非表示できる。これによりノイズを軽減できる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,画面の1/4以上の面積で、1秒間に3回を超える点滅を含まない。面積にかかわらず強い赤色の点滅を含まない。,必ず手動で確認,画面の1/4以上の面積で、1秒間に3回を超える点滅を含まない。面積にかかわらず強い赤色の点滅を含まない。,やる,,,
No,デザインシステム構築時,ナビゲーションやヘッダーなどは、Tabキーで操作する際スキップできるようにした。,必ず手で作業,スクリーンリーダーの利用やキーボード操作をする際に、複数のページで常に表示されるブロック（ナビゲーションやヘッダー）をスキップできる。,現状はやらない,,,
No,デザイン・PdMレビュー時,"指示通りに、ブラウザのタブ名がページの内容を表すようになっている。例：「ページ単体の内容｜サイト名」 ",必ず手動で確認,HTMLの<title>はページの内容を表している。例：「ページ単体の内容｜サイト名」,やる,,,
No,デザイン時,HTMLの<title>を、ページの内容を表すように指定した。例：「ページ単体の内容｜サイト名」,必ず手動で確認,HTMLの<title>はページの内容を表している。例：「ページ単体の内容｜サイト名」,やる,,,
No,デザイン・PdMレビュー時,キーボードで操作する際、フォーカスが正しい順序で移動する。,キーボード操作で一通り確認,キーボードで操作する際に、フォーカスが適切な順序で移動する。,現状はやらない,,,
No,開発時,キーボードで操作する際、フォーカスが正しい順序で移動するように実装した。（Tabindexなど）,,キーボードで操作する際に、フォーカスが適切な順序で移動する。,現状はやらない,,,
No,デザイン・PdMレビュー時,スクリーンリーダー（Com＋F5）でリンク一覧（Ctl+Opt+U）を開き、全てのリンクの遷移先が理解できるようになっている。,スクリーンリーダーで一通り確認,リンクテキストは単体で遷移先を理解できるようにする。冗長になるなどの理由で遷移先の説明を省く場合（例：Table内の『詳細』）、ARIA属性を用いて、スクリーンリーダーのリンク一覧機能を読み上げた時も、理解できるようにする。,現状はやらない,,,
No,開発時,リンクテキストでARIAラベルの指定がある場合、指示通りに実装した。,,リンクテキストは単体で遷移先を理解できるようにする。冗長になるなどの理由で遷移先の説明を省く場合（例：Table内の『詳細』）、ARIA属性を用いて、スクリーンリーダーのリンク一覧機能を読み上げた時も、理解できるようにする。,現状はやらない,,,
No,デザイン時,リンクテキストがある場合、単体で遷移先を理解できるようにする。冗長になるなどの理由で遷移先の説明を省く場合（例：Table内の『詳細』）、ARIAラベルを指定する。,Chat GPTに画面を読み込ませて確認,リンクテキストは単体で遷移先を理解できるようにする。冗長になるなどの理由で遷移先の説明を省く場合（例：Table内の『詳細』）、ARIA属性を用いて、スクリーンリーダーのリンク一覧機能を読み上げた時も、理解できるようにする。,現状はやらない,,,
No,デザイン・PdMレビュー時,最終目的地に複数の手段でたどり着けるようになっている。（サブ動線の例：サイト内検索・直URLなど）※ 「新規作成」「編集」などのプロセスのページは除く。,必ず手動で確認,目的のページに辿り着く手段が複数あることで、自分にとって最適な手段を選択できる。（サブ動線の例：サイト内検索・直URLなど）※  「新規作成」「編集」などのプロセスのページは除く。,やる,,,
No,デザイン時,最終目的地に複数の手段でたどり着けるようにした。（サブ動線の例：サイト内検索・直URLなど）※ 「新規作成」「編集」などのプロセスのページは除く。,必ず手動で確認,目的のページに辿り着く手段が複数あることで、自分にとって最適な手段を選択できる。（サブ動線の例：サイト内検索・直URLなど）※  「新規作成」「編集」などのプロセスのページは除く。,やる,,,
No,デザイン時,見出しやラベルがある場合、単体で内容を明確に伝えている。（NG例：その他、重要）,Chat GPTに画面を読み込ませて確認,見出しやラベルは内容を明確に伝えている。,やる,,,
No,デザイン・PdMレビュー時,ドロワーやポップアップなど、覆うタイプのUIがある場合、隠れているパーツにフォーカスが当たらない。画面外にフォーカスが移動する場合は、対象が見えるように画面がスクロールされる。,キーボード操作で一通り確認,キーボードで操作する際に、フォーカスが他の要素によって隠されない。画面外にフォーカスが移動する場合は、対象が見えるように画面がスクロールされる。,現状はやらない,,,
No,開発時,ドロワーやポップアップなど、覆うタイプのUIでは、隠れているパーツにフォーカスが当たらないように実装する。画面外にフォーカスが移動する場合は、対象が見えるように画面をスクロールさせる。,,キーボードで操作する際に、フォーカスが他の要素によって隠されない。画面外にフォーカスが移動する場合は、対象が見えるように画面がスクロールされる。,現状はやらない,,,
No,デザイン時,モバイルで複数の指の同時操作や軌跡ジェスチャを利用する場合、一本指のタップのみでも操作できるようにする。,必要有無を確認＆必要なら作業,複数の指の同時操作や軌跡ジェスチャを行わなくても、1本指のタップのみで操作できる。,デバイス上対象外,,,
No,開発時,ユーザーの操作は、マウスアップで実行されるように実装する。,,誤操作を防ぐため、実行はアップイベント（離したとき）で行われる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン・PdMレビュー時,スクリーンリーダーで読み上げられるテキストは、画面上のテキストと揃える。（読み上げられるテキスト側に情報を付与するのは可能。）,スクリーンリーダーで一通り確認,視覚的な文字と、実装上のテキストが異なると、操作方法（音声操作やスクリーンリーダー）によってはユーザーの混乱を招く可能性がある。両方に同じテキストを含めることが望ましい。,現状はやらない,,,
No,開発時,スクリーンリーダーで読み上げられる実装上のテキストは、画面上のテキストと揃える。（読み上げられるテキスト側に情報を付与するのは可能。）,,視覚的な文字と、実装上のテキストが異なると、操作方法（音声操作やスクリーンリーダー）によってはユーザーの混乱を招く可能性がある。両方に同じテキストを含めることが望ましい。,現状はやらない,,,
No,デザイン時,「デバイスを振ると戻る」など動きによる操作ができる場合、マウスやキーボードでも同じ操作ができるようにする。無効にして誤操作を防ぐこともできるようにする。,必要有無を確認＆必要なら作業,「デバイスを振ると戻る」など動きによる操作ができる場合、「戻るボタンなどを配置する」などしてマウスやキーボードでも同じ操作ができる。無効にして誤操作を防ぐこともできる。,デバイス上対象外,,,
No,デザイン時,ドラッグ操作が必要な機能がある場合、クリックやタップで同じ操作ができるようにする。（例：アイテムの並び替えは、ドラッグだけではなく、矢印ボタンでもできるようにする）,Chat GPTに画面を読み込ませて確認,ドラッグ操作が難しい場合、クリックやタップなどで同じ操作ができる。,やる,,,
No,デザイン時,"Component以外の独自のパーツを作る場合、操作領域がマージン含め24×24ピクセル以上に指定する。
※ 文中のリンクは除く
※ サイズの制約はhttps://waic.jp/translations/WCAG22/Understanding/target-size-minimum.htmlを参照",必要有無を確認＆必要なら作業,"操作領域は、マージン含め24×24ピクセル以上で、誤タップや誤クリックを防ぐことができる。
※ 文中のリンクは除く
※ サイズの制約はこちらを参照",現状はやらない,,,
No,デザインシステム構築時,"操作可能なComponentは、操作領域をマージン含め24×24ピクセル以上にする。
※ 文中のリンクは除く
※ サイズの制約はhttps://waic.jp/translations/WCAG22/Understanding/target-size-minimum.htmlを参照",必ず手で作業,"操作領域は、マージン含め24×24ピクセル以上で、誤タップや誤クリックを防ぐことができる。
※ 文中のリンクは除く
※ サイズの制約はこちらを参照",現状はやらない,,,
No,開発時,ページの言語をHTMLのlang属性で指定した,,ページの言語がHTMLのlang属性で指定されていることで、スクリーンリーダーが正しく読み上げられる。,現状はやらない（現在ほぼ達成してそう？）,,,
No,開発時,引用文や言語選択など、他の言語の文章が画面内に含まれている場合、HTMLのlang属性で指定した。※ 固有名詞や文中の単語は除く,,"引用文や言語選択など、他の言語の文章が画面内に含まれている場合、HTMLのlang属性で指定されている。これにより、スクリーンリーダーで正しく読み上げられる。
※ 固有名詞や文中の単語は除く",現状はやらない（現在ほぼ達成してそう？）,,,
No,開発時,フォーカスを当てただけで、大きな変化（ページ遷移・スクロール・フォーカス移動・コンテンツの主題の変化など）が起こらないようにする。※ ツールチップ表示など小さな変化は許容,,フォーカスを当てただけで、大きな変化（ページ遷移・スクロール・フォーカス移動・コンテンツの主題の変化など）が起こらないようにする。※ ツールチップ表示など小さな変化は許容,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,フォーカスを当てただけで、大きな変化（ページ遷移・スクロール・フォーカス移動・コンテンツの主題の変化など）が起こる体験にしていない。※ ツールチップ表示など小さな変化は許容,必ず手動で確認,フォーカスを当てただけで、大きな変化（ページ遷移・スクロール・フォーカス移動・コンテンツの主題の変化など）が起こらないようにする。※ ツールチップ表示など小さな変化は許容,現状はやらない（現在ほぼ達成してそう？）,,,
No,デザイン時,入力しただけで、ユーザーが予想できない変化（ページ遷移・スクロール・フォーカス移動・コンテンツの主題の変化など）が起こらない。,必ず手動で確認,入力しただけで、ユーザーが予想できない変化（ページ遷移・スクロール・フォーカス移動・コンテンツの主題の変化など）が起こらない。,やる,,,
No,デザイン時,グローバルナビゲーションは、常に同じ順序、表記で表示している,Chat GPTに画面を読み込ませて確認,繰り返し表示されるナビゲーションは、常に同じ順序、表記で実装されることで、目的の機能へ迷わず辿り着ける。,やる,,,
No,デザイン時,テキストはライティングガイドラインを遵守しており、また、揺れもない。全ての揺れを修正したり最適化することが困難な場合は、今後の対応方針を決めることでも許容とする。,"Chat GPTに画面を読み込ませて確認, 必ず手動で確認",同じ機能やコンポーネントは、すべてのページで同じ表現になっていることで、混乱を避ける。,やる,,,
No,デザイン時,入力エラーが発生した際、エラーの発生箇所がテキストで明確に提示され、どこを直せばよいか理解できるようにした。,Chat GPTに画面を読み込ませて確認,入力エラーが発生した際、エラーの発生箇所がテキストで明確に提示され、どこを直せばよいか理解できる。,やる,,,
No,デザインシステム構築時,入力欄がある場合、入力内容や形式、必須などは明確に表示され、入力中も消えないデザインにした。,必ず手で作業,入力欄に対して、入力内容や形式、必須などが明確に表示され、入力中も消えない。スクリーンリーダーでも適切に読み上げられる,現状はやらない,,,
No,デザイン・PdMレビュー時,入力欄がある場合、入力内容や形式、必須などは明確に表示れ、入力中も消えない。スクリーンリーダーでも適切に読み上げられる。,"スクリーンリーダーで一通り確認, 必要有無を確認＆必要なら手動で確認",入力欄に対して、入力内容や形式、必須などが明確に表示され、入力中も消えない。スクリーンリーダーでも適切に読み上げられる,現状はやらない,,,
No,開発時,入力欄がある場合、入力内容や形式、必須などが適切に読み上げられるように実装した。,,入力欄に対して、入力内容や形式、必須などが明確に表示され、入力中も消えない。スクリーンリーダーでも適切に読み上げられる,現状はやらない,,,
No,デザイン時,入力エラーが発生した際、どのように修正すれば良いか具体的な提案が表示される。,Chat GPTに画面を読み込ませて確認,入力エラーが発生した際、どのように修正すればよいか具体的な提案が表示される。,やる,,,
No,デザイン時,重要な操作がある場合、［取消］［誤入力の検出と修正］［送信前の確認］のいずれかができる。（重要な操作=法や金融に関わる操作、個人情報の操作、試験の解答送信）,Chat GPTに画面を読み込ませて確認,重要な操作は、［取消］［誤入力の検出と修正］［送信前の確認］のいずれかができる。（重要な操作=法や金融に関わる操作、個人情報の操作、試験の解答送信）,やる,,,
