対象か,付番,原則,達成基準,適合レベル,W3C公式テキスト,簡単解釈,テスト手法,めも,メモ,取引先管理,承認待ちの請求書,発注照合管理,請求書登録,請求書管理,請求書自動登録
Yes,1.4.12,知覚可能," テキストの間隔",AA,"以下のhttps://waic.jp/translations/WCAG21/#dfn-texthttps://waic.jp/translations/WCAG21/#dfn-style-propertiesをサポートするマークアップ言語を用いて実装されているコンテンツにおいては、以下をすべて設定し、かつ他のスタイルプロパティを変更しないことによって、コンテンツ又は機能の損失が生じない:
• 行の間隔 (行送り) をフォントサイズの少なくとも 1.5 倍に設定する
• 段落に続く間隔をフォントサイズの少なくとも 2 倍に設定する
• 文字の間隔 (字送り) をフォントサイズの少なくとも 0.12 倍に設定する
• 単語の間隔をフォントサイズの少なくとも 0.16 倍に設定する
例外: テキスト表記においてこれらのテキストスタイルプロパティの一つ以上を使用しない自然言語及び文字体系では、その言語と文字体系の組み合わせに存在するプロパティだけを用いて、この達成基準に適合することができる。",行間や文字の間隔を広げても、表示が崩れず読めるようにする。,"1. ブラウザ拡張（Text Spacing Editor）やカスタムCSSを使って、テキストに以下のスタイルを適用する：

    ◦ 行間（line-height）: 1.5 倍
    ◦ 段落間（paragraph spacing）: 文字の高さの 2 倍
    ◦ 文字間（letter-spacing）: 0.12em
    ◦ 単語間（word-spacing）: 0.16em

2. この状態で本文やUIテキストを確認する。 切れたり、重なったり、隠れたり しないかをチェック。",画面のレイアウトか崩れている,,達成,達成,未達成,達成,達成,部分的に達成
Yes,1.4.13,知覚可能,ホバー又はフォーカスで表示されるコンテンツ,AA,"ポインタホバー又はキーボードフォーカスを受け取ってから外すことで、追加コンテンツを表示させてから非表示にさせる場合は、以下の要件を全て満たす:非表示にすることができるポインタホバー又はキーボードフォーカスを動かさずに追加コンテンツを非表示にするhttps://waic.jp/translations/WCAG21/#dfn-mechanismが存在する。ただし、追加コンテンツがhttps://waic.jp/translations/WCAG21/#dfn-input-errorを伝える場合や、他のコンテンツを不明瞭にしたり置き換えたりしない場合は除く。ホバーすることができるポインタホバーによって追加コンテンツを表示させることができる場合、その追加コンテンツを消すことなく、ポインタを追加コンテンツ上で動かすことができる。表示が継続されるホバーやフォーカスが解除される、利用者が非表示にする、又はその情報が有効でなくなるまでは、追加コンテンツが表示され続ける。
例外: 追加コンテンツの視覚的提示がユーザエージェントによって制御されていて、かつコンテンツ制作者が変更していない場合は例外とする。",マウスを重ねたりキーボードで選んだときに出る表示は、すぐ消えたり操作できなくなったりしないようにする,"1. ホバーやフォーカスに連動するコンテンツがあるか確認する
2.ある場合、以下を確認する
ホバーやフォーカスに連動するコンテンツの回避
• 利用者がコンテンツを自分のペースで利用できるよう、ホバーなどに連動されるコンテンツの設計を可能な限り避ける。
表示されるコンテンツは非表示にできる
• キーボードでも追加表示されるコンテンツを閉じることができるようにする。
表示されるコンテンツ上で移動できる
• 追加表示されるコンテンツにもホバーできるようにする。
表示されるコンテンツの表示を持続できる
• 追加表示されるコンテンツは意図的に非表示にするまで表示され続ける。",ツールチップは表示されるが、詳細の中に入れない（キーボード操作）,デザイナー,部分的に達成,達成,達成,未達成,達成,未達成
Yes,2.1.1,操作可能,キーボードの達成基準,A,コンテンツのすべてのhttps://waic.jp/translations/WCAG21/#dfn-functionalityは、個々のキーストロークに特定のタイミングを要することなく、https://waic.jp/translations/WCAG21/#dfn-keyboard-interfaceを通じて操作可能である。ただし、その根本的な機能が利用者の動作による終点だけではない軌跡に依存する入力を必要とする場合は除く。,すべての機能をキーボードだけで操作できるようにする。,"1. マウスやタッチパッドを使わず、Tab / Shift+Tab / Enter / Space / 矢印キー だけで画面を操作する。
2. ナビゲーション、ボタン、リンク、フォーム入力欄、モーダル、ドロップダウン、スライダー、タブなどを順に動かして確認。
3. キーボードで到達できない要素がないか、操作できない機能がないかをチェック。
4. 特に「メニューが開けない」「閉じられない」「フォーカスがモーダル内に閉じ込められない」などを注意して見る。
","位置がわかりにくい
詳細ポップアップを開いたら閉じれない（キーボード操作では画面外を押すことができないため）→escapedでは戻れる（正常には戻れない）",デザイナー,部分的に達成,達成,未達成,達成,未達成,部分的に達成
Yes,2.1.2,操作可能,キーボードトラップなしの達成基準,A,https://waic.jp/translations/WCAG21/#dfn-keyboard-interfaceを用いてキーボードフォーカスをそのウェブページのあるコンポーネントに移動できる場合、キーボードインタフェースだけを用いてそのコンポーネントからフォーカスを外すことが可能である。さらに、修飾キーを伴わない矢印キー、Tab キー、又はフォーカスを外すその他の標準的な方法でフォーカスを外せない場合は、フォーカスを外す方法が利用者に通知される。,キーボードで移動したときに、特定の場所から抜けられなくならないようにする。,"1. キーボードだけで画面を操作し、フォーカスが移動できる要素を順にたどる。
2. モーダルウィンドウ、埋め込みコンテンツ（iframe、動画プレイヤーなど）、ウィジェットにフォーカスを入れてみる。
3. Tab / Shift+Tab でフォーカスを進めたり戻したりして、外に抜け出せるかを確認する。
4. Escキーや閉じるボタンなどで正常に戻れるかもチェックする。
",,デザイナー,部分的に達成,達成,未達成,該当なし,未達成,未達成
Yes,2.1.4,操作可能,文字キーのショートカット,A,文字 (大文字と小文字を含む)、句読点、数字、又は記号のみを使用したhttps://waic.jp/translations/WCAG21/#dfn-keyboard-shortcutsがコンテンツに実装されている場合、少なくとも次のいずれかを満たしている:解除ショートカットを解除するhttps://waic.jp/translations/WCAG21/#dfn-mechanismが利用できる再割当て一つ以上のキーボードの非印字キー (例えば Ctrl、Alt) を含むようにショートカットを再割当てするメカニズムが利用できるフォーカス中にのみ有効化https://waic.jp/translations/WCAG21/#dfn-user-interface-componentsのキーボードショートカットは、そのコンポーネントがフォーカスをもっているときのみ有効になる。,機能を操作するのに、1つの文字キーや文字の組み合わせだけに頼らないようにする。誤ってキーを押したときに意図しない動作が起きないように、別の操作方法（確定のための Enter、ボタン選択など）を用意することが必要。,"1. 文字のみのコンテンツで、キーボードショートカットが実装されているものがあるか確認する
2. その場合、テスト手順に沿ってテストする

<テスト手順>
文字（大文字と小文字を含む）、句読点・数字または記号のみを使用したコンテンツに、キーボードショートカットが実装されている場合、下記の条件を満たす実装になっているか
• 解除：ショートカットキーを解除できる
• 再割り当て：1つまたは複数の印刷不可能なキーボード文字（CtrlやAltなど）を別の文字に割り振りできる
• フォーカス時のみ有効：そのコンポーネントにフォーカスがある場合にのみショートカットキーが有効になる",,,該当なし,該当なし,該当なし,該当なし,該当なし,達成
Yes,2.4.1,操作可能,ブロックスキップの達成基準,A,複数のhttps://waic.jp/translations/WCAG21/#dfn-web-page-s上で繰り返されているコンテンツのブロックをスキップするhttps://waic.jp/translations/WCAG21/#dfn-mechanismが利用できる。,繰り返し出るメニューなどを飛ばして本文に進める手段をつける。,"1. ページをキーボード（Tabキー）で操作して、ページ先頭にフォーカスを当てる。
2. 「メインコンテンツにスキップ」「Skip to main content」といったリンクやボタンが最初に現れるかを確認。
3. そのリンクを選択すると、ナビゲーションなどの繰り返し部分を飛ばして 本文の先頭に移動できるかチェック。
4. または、見出し構造（h1, h2…）を利用してすぐに本文へジャンプできるようになっているかも確認。

",,デザイナー,未達成,未達成,該当なし,未達成,未達成,未達成
Yes,2.4.2,操作可能,ページタイトルの達成基準,A,https://waic.jp/translations/WCAG21/#dfn-web-page-sには、主題又は目的を説明したタイトルがある。,ページには内容を表すわかりやすいタイトルをつける。,"1. ブラウザのタブやウィンドウのタイトルバーに表示されている ページタイトル を確認する。
2. タイトルが、そのページの 内容や目的を正しく表しているかをチェック。

    ◦ 例：商品一覧ページ → 「商品一覧｜ショップ名」
    ◦ 例：ログインページ → 「ログイン｜サービス名」

3. 同じサイト内で複数のページを開いたとき、タブのタイトルだけで どのページか区別できるかを確認する。
",サービス名のみ,デザイナー,未達成,未達成,未達成,未達成,未達成,未達成
Yes,2.4.3,操作可能,フォーカス順序の達成基準,A,https://waic.jp/translations/WCAG21/#dfn-web-page-sがhttps://waic.jp/translations/WCAG21/#dfn-navigated-sequentiallyできて、そのナビゲーション順が意味又は操作に影響を及ぼす場合、フォーカス可能なコンポーネントは、意味及び操作性を損なわない順序でフォーカスを受け取る。,キーボードでの移動順は意味のある流れになるようにする。,"1. マウスを使わず、Tab / Shift+Tab でフォーカスを順番に移動していく。
2. フォーカスの移動が 画面上の見た目の流れに沿っているかを確認。

    ◦ 例：ヘッダー → ナビゲーション → メイン本文 → サイドバー → フッター

3. フォーカスが飛んでしまったり、予期しない場所に移動しないかを確認。
4. モーダルやポップアップが出た場合、フォーカスがその中に移動して、閉じるまで外に出ないかもチェック。
",,デザイナー,部分的に達成,未達成,達成,達成,未達成,未達成
Yes,2.4.4,操作可能,リンクの目的(コンテキスト内)の達成基準,A,https://waic.jp/translations/WCAG21/#dfn-purpose-of-each-linkが、リンクのテキスト単独で、又はリンクのテキストとhttps://waic.jp/translations/WCAG21/#dfn-programmatically-determined-link-contextなリンクのコンテキストから判断できる。ただし、リンクの目的がhttps://waic.jp/translations/WCAG21/#dfn-ambiguous-to-users-in-generalな場合は除く。,リンク先の内容が何か、リンクの文や文脈でわかるようにする。,"1. ページ内のすべてのリンクテキストを確認する。
2. リンクのテキストだけ、または周囲の文脈を読んで、遷移先や機能の目的が分かるかをチェック。

    ◦ 例：「詳細を見る」だけでは不十分 → 「商品Aの詳細を見る」ならOK
    ◦ 例：「こちら」「クリック」など曖昧なテキストはNG

3. スクリーンリーダーでリンク一覧を読み上げたときに、どこに行くリンクか判別できるかも確認する。
",,デザイナー,未達成,部分的に達成,該当なし,未達成,達成,達成
Yes,2.4.5,操作可能,複数の手段の達成基準,AA,https://waic.jp/translations/WCAG21/#dfn-set-of-web-pagesの中で、あるhttps://waic.jp/translations/WCAG21/#dfn-web-page-sを見つける複数の手段が利用できる。ただし、ウェブページが一連のhttps://waic.jp/translations/WCAG21/#dfn-processesの中の 1 ステップ又は結果である場合は除く。,同じ情報にたどり着く方法を一つ以上用意する（検索、メニューなど）,"1. サイト内で「主要なページ」に移動する手段2つ以上あるか確認
    ◦ 例：メニューからしか行けない
    ◦ 例：サイトマップも検索もなく、リンクのたどりでしか到達できない

2. サイトに以下のような手段が 複数あるかをチェック：
    ◦ ナビゲーションメニュー
    ◦ サイト内検索
    ◦ サイトマップ
    ◦ パンくずリスト
    ◦ 一覧ページ（カテゴリーページなど）",,デザイナー,未達成,未達成,達成,達成,該当なし,未達成
Yes,2.4.6,操作可能,見出し及びラベルの達成基準,AA,https://waic.jp/translations/WCAG21/#dfn-set-of-web-pagesの中で、あるhttps://waic.jp/translations/WCAG21/#dfn-web-page-sを見つける複数の手段が利用できる。ただし、ウェブページが一連のhttps://waic.jp/translations/WCAG21/#dfn-processesの中の 1 ステップ又は結果である場合は除く。,見出しやラベルは、中身を正しく説明するようにする。,"1. ページ内の 見出し (h1, h2, h3…) を確認し、内容のまとまりをわかりやすく示しているかチェック。

    ◦ 例：セクションタイトルが本文の内容と合っているか
    ◦ 例：単に装飾目的の見出しになっていないか

2. フォームや入力欄を確認し、ラベルが入力の目的を分かりやすく示しているかをチェック。

    ◦ 例：「名前」「メールアドレス」「パスワード」など明確か
    ◦ 例：「こちらに入力」など曖昧なラベルになっていないか

",本来は「発注照合」がh1であるべき,デザイナー,達成,達成,未達成,未達成,部分的に達成,部分的に達成
Yes,2.4.7,操作可能,フォーカスの可視化の達成基準,AA,キーボード操作が可能なあらゆるユーザインタフェースには、フォーカスインジケータが見える操作モードがある。,キーボード操作で今どこにいるか、見てわかるようにする。,"1. マウスを使わず、Tabキー / Shift+Tab でページ上を移動する。
2. ボタン、リンク、入力欄などにフォーカスを移動したとき、見た目が変化するかを確認。

    ◦ 例：枠線が出る、背景色が変わる、下線が付くなど

3. 変化が小さすぎて見分けにくくないかも目視でチェック。
","チェックボックスがenterを押してもチェックがつかない
チェックボックスの変化がわかりにくい",デザイナー,達成,部分的に達成,未達成,部分的に達成,未達成,部分的に達成
Yes,"2.5.1 ",操作可能,ポインタのジェスチャー,A,マルチポイント又は軌跡ベースのジェスチャを使って操作するhttps://waic.jp/translations/WCAG21/#dfn-functionalityはすべて、軌跡ベースのジェスチャなしのhttps://waic.jp/translations/WCAG21/#dfn-single-pointerで操作することができる。ただし、マルチポイント又は軌跡ベースのジェスチャがhttps://waic.jp/translations/WCAG21/#dfn-essentialである場合は例外とする。,複雑な操作（スワイプやピンチなど）をしなくても、単純なタップやクリックで同じ機能を使えるようにする。,"1. サイトやアプリで スワイプ・ピンチ・長押し・ドラッグ などの操作が必要な箇所を探す。
2. その機能に対して、単一のタップやクリックなどの簡単な操作で代替できるか確認。

    ◦ 例：画像の拡大 → ピンチ操作だけでなく「＋/－ボタン」があるか
    ◦ 例：ドラッグで並べ替え → 「上下ボタン」で並べ替えできるか

3. ジェスチャーが必須の場合は、それが本質的に必要かどうか（例：お絵描きアプリのフリーハンド描画など）を判断。
",,デザイナー,該当なし,該当なし,該当なし,該当なし,該当なし,未達成
Yes,2.5.2,操作可能,ポインタのキャンセル,A,https://waic.jp/translations/WCAG21/#dfn-single-pointerを使って操作できるhttps://waic.jp/translations/WCAG21/#dfn-functionalityは、以下の要件の少なくとも 一つを満たす。ダウンイベントがない機能を実行する目的でポインタのhttps://waic.jp/translations/WCAG21/#dfn-down-eventを使用していない。中止又は元に戻すことができる機能の完了にはhttps://waic.jp/translations/WCAG21/#dfn-up-eventを使用し、かつ機能の完了前に中止する、又は機能の完了後に元に戻すためのhttps://waic.jp/translations/WCAG21/#dfn-mechanismが利用できる。アップイベントで反転アップイベントによって、先のダウンイベントのすべての結果が反転する。必要不可欠ダウンイベントによって機能を完了させることがhttps://waic.jp/translations/WCAG21/#dfn-essentialである。,タップやクリックの操作は、押しただけで勝手に実行されないようにする。ユーザーが意図を確定できるようにする。,"1. ボタン、リンク、アイコン、スライダーなど ポインタ操作（マウス・タッチ）で実行できるUIを確認。
2. 次の点をチェックする：

    ◦ 押した瞬間に即実行されないか（押してから離したときに実行されるのが望ましい）
    ◦ ドラッグやスライドなどの操作は、離す前に取り消せるか
    ◦ タップやクリックで実行される操作に、「キャンセル」や「取り消し」手段があるか

3. 誤タップが起きやすいスマホ操作で特に注意して確認する。
",,デザイナー,該当なし,該当なし,達成,該当なし,該当なし,未達成
Yes,2.5.3,操作可能,ラベルを含む名前,A,https://waic.jp/translations/WCAG21/#dfn-user-interface-componentsがhttps://waic.jp/translations/WCAG21/#dfn-text又はhttps://waic.jp/translations/WCAG21/#dfn-images-of-textを含むhttps://waic.jp/translations/WCAG21/#dfn-labelsを持つ場合、視覚的に提示されたテキストがhttps://waic.jp/translations/WCAG21/#dfn-nameに含まれている。,ボタンやリンクのラベルと、機械が認識する「名前（アクセシブルネーム）」は同じ内容にする。画面読み上げと視覚的な表示が一致することで混乱を防ぐ。,"1. ページ内の ボタンやリンク、アイコン付きの操作要素を確認する。
2. 目に見えるラベル（例：「検索」ボタン）と、スクリーンリーダーが読み上げる名前が 一致しているかを確認する。
（Mac） VoiceOver などを使い、フォーカスを当てて読み上げをチェック。","削除ボタンが「削除」になっていない
「詳細」は「グループ」と読み上げされる",デザイナー,達成,達成,未達成,達成,未達成,未達成
Yes,2.5.7,操作可能,ドラッグ動作,AA,操作にhttps://waic.jp/translations/WCAG22/#dfn-dragging-movementsを用いる全てのhttps://waic.jp/translations/WCAG22/#dfn-functionalityは、ドラッグなしのhttps://waic.jp/translations/WCAG22/#dfn-single-pointerで完遂できる。ただし、ドラッグがhttps://waic.jp/translations/WCAG22/#dfn-essentialである、又はその機能がhttps://waic.jp/translations/WCAG22/#dfn-user-agentsによって決定され、かつコンテンツ制作者によって変更されない場合は除く。,ドラッグ（つかんで動かす）が必要な機能には、代わりにクリックやタップでも操作できる方法を用意する。,"1. サイトやアプリ内で ドラッグ操作（指やマウスを押したまま移動する）を必要とする機能があるか探す。

    ◦ 例：カードをドラッグして並べ替える
    ◦ 例：スライダーのハンドルをドラッグして調整する

2. その機能に、ドラッグ以外の操作手段（単一のタップ／クリック／矢印キーなど）が用意されているかを確認。

    ◦ 並べ替えなら「上下ボタン」
    ◦ スライダーなら「＋／－ボタン」や数値入力欄

",,デザイナー,該当なし,該当なし,該当なし,達成,該当なし,達成
Yes,2.5.8,理解可能,ターゲットのサイズ (最低限),AA,https://waic.jp/translations/WCAG22/#dfn-pointer-inputsのhttps://waic.jp/translations/WCAG22/#dfn-targetsのサイズは、少なくとも 24 × 24 https://waic.jp/translations/WCAG22/#dfn-css-pixelsである。ただし、次の場合は除く:間隔複数の小さなターゲット (24 × 24 CSS ピクセル未満のもの) が配置されており、それぞれのhttps://waic.jp/translations/WCAG22/#dfn-bounding-boxesの中心に直径 24 CSS ピクセルの円があるとした場合に、その円が別のターゲットと重なる、又は別の小さなターゲットの円と重なることがない。同等その機能は、この達成基準を満たす同一ページ上の別のコントロールを通じて達成できる。インラインターゲットが文中に存在する、又は、そのサイズがターゲット以外のテキストに対する行の高さによって制約されている。ユーザエージェントのコントロールターゲットのサイズがhttps://waic.jp/translations/WCAG22/#dfn-user-agentsによって決定され、かつコンテンツ制作者によって変更されていない。必要不可欠そのターゲットを特定の方法でhttps://waic.jp/translations/WCAG22/#dfn-presentationすることが、https://waic.jp/translations/WCAG22/#dfn-essentialである、又は伝達される情報に対して法的に要求されている。,ボタンやリンクなどのクリック・タップ領域は、小さすぎないように最低限の大きさを確保する。これにより指先やポインタで正しく選べるようにする。,"1. ページやアプリの リンク・ボタン・アイコンなどの操作ターゲットを確認。
2. 小さすぎて押しにくいものがないかをチェック。特にスマホ画面でテストする。
3. CSSやデザイン上のサイズを測り、24 × 24 CSSピクセル以上あるか確認する。
    ◦ スマホの場合44px 四方 
4. ターゲット同士が近すぎて誤タップしやすくないかも確認。
",デザインルールで16x16を許容しているため,デザイナー,達成,未達成,未達成,達成,未達成,達成
Yes,3.1.1,理解可能,ページの言語の達成基準,A,それぞれのhttps://waic.jp/translations/WCAG21/#dfn-web-page-sのデフォルトのhttps://waic.jp/translations/WCAG21/#dfn-human-language-sがどの言語であるか、https://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである。,ページ全体の言語を正しく指定する。,"1. ページ全体の 主な言語（日本語、英語など）を確認する。
2. HTML の <html> タグに lang 属性が設定されているかを開発者ツールで確認。

    ◦ 例：日本語ページ → <html lang=""ja"">
    ◦ 英語ページ → <html lang=""en"">

3. スクリーンリーダーで読み上げて、言語設定が正しく反映されているかチェック。
",,,部分的に達成,部分的に達成,達成,達成,達成,部分的に達成
Yes,3.1.2,理解可能,一部分の言語の達成基準,AA,コンテンツの一節、又は語句それぞれのhttps://waic.jp/translations/WCAG21/#dfn-human-language-sがどの言語であるか、https://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである。ただし、固有名詞、技術用語、言語が不明な語句、及びすぐ前後にあるテキストの言語の一部になっている単語又は語句は除く。,ページの一部が別の言語なら、その言語も指定する。,"1. ページ本文の中に、主言語とは異なる言語が使われている箇所がないか探す。

    ◦ 例：日本語ページの中に “Sign in” と英語表記がある
    ◦ 例：英語ページの中に「こんにちは」と日本語が混ざっている

2. 開発者ツールでその要素を確認し、lang 属性が部分的に指定されているかチェック。

    ◦ 例：<span lang=""en"">Sign in</span>
    ◦ 例：<span lang=""ja"">こんにちは</span>

3. スクリーンリーダーで読み上げて、異なる言語部分が正しく発音されているか確認する。
",,,達成,達成,達成,該当なし,該当なし,達成
Yes,3.2.1,理解可能,フォーカス時の達成基準,A,いずれのhttps://waic.jp/translations/WCAG21/#dfn-user-interface-componentsも、フォーカスを受け取ったときにhttps://waic.jp/translations/WCAG21/#dfn-change-of-contextを引き起こさない。,フォーカスしても予想外の動作が起きないようにする。,"1. キーボード操作（Tab / Shift+Tab）でフォーム要素やリンク、ボタンにフォーカスを移動する。
2. フォーカスが当たった瞬間に、勝手にページが遷移したり、送信されたり、設定が変わったりしないかを確認。
3. フォーカスしただけで予期しない動作が発生するUI（例：入力欄に入った瞬間にポップアップが開くなど）がないか、勝手にフォーカスがキャンセルされないかを見る",,デザイナー,達成,達成,達成,達成,達成,達成
